,Дата,visitors_count
289,2019-06-30,2
290,2019-07-02,66
291,2019-07-04,19
292,2019-07-05,8
293,2019-07-07,13
294,2019-07-09,46
295,2019-07-10,58
296,2019-07-12,28
297,2019-07-13,18
298,2019-07-14,16
299,2019-07-16,19
300,2019-07-17,9
301,2019-07-18,10
302,2019-07-19,25
303,2019-07-20,6
304,2019-07-21,9
305,2019-07-23,16
306,2019-07-24,21
307,2019-07-25,5
308,2019-07-26,31
309,2019-07-27,9
310,2019-07-28,10
311,2019-07-30,15
312,2019-07-31,12
313,2019-08-01,9
314,2019-08-02,8
315,2019-08-03,19
316,2019-08-04,12
317,2019-08-06,12
318,2019-08-07,44
319,2019-08-08,6
320,2019-08-10,5
321,2019-08-11,6
322,2019-08-13,14
323,2019-08-14,3
324,2019-08-15,7
325,2019-08-16,7
326,2019-08-17,31
327,2019-08-18,17
328,2019-08-20,22
329,2019-08-21,24
330,2019-08-22,11
331,2019-08-23,3
332,2019-08-24,5
333,2019-08-25,4
334,2019-08-27,5
335,2019-08-28,4
336,2019-08-29,9
337,2019-08-30,26
338,2019-08-31,18
339,2019-09-03,34
340,2019-09-04,5
341,2019-09-05,5
342,2019-09-06,6
343,2019-09-07,30
344,2019-09-08,10
345,2019-09-10,7
346,2019-09-11,4
347,2019-09-12,3
348,2019-09-13,35
349,2019-09-15,9
350,2019-09-19,2
351,2019-09-21,15
352,2019-09-22,17
353,2019-09-28,16
354,2019-09-29,30
355,2019-10-01,2
356,2019-10-04,3
357,2019-10-05,55
358,2019-10-06,64
359,2019-10-09,1
360,2019-10-11,2
361,2019-10-12,55
362,2019-10-13,53
363,2019-10-15,76
364,2019-10-18,104
365,2019-10-19,37
366,2019-10-20,14
367,2019-10-22,3
368,2019-10-24,21
369,2019-10-25,5
370,2019-10-26,13
371,2019-10-27,3
372,2019-10-29,55
373,2019-10-30,99
374,2019-11-01,94
375,2019-11-02,15
376,2019-11-03,18
377,2019-11-06,46
378,2019-11-07,34
379,2019-11-08,60
380,2019-11-09,70
381,2019-11-10,70
382,2019-11-12,3
383,2019-11-14,15
384,2019-11-15,16
385,2019-11-16,67
386,2019-11-17,9
387,2019-11-20,51
388,2019-11-21,2
389,2019-11-22,1
390,2019-11-23,94
391,2019-11-24,60
392,2019-11-26,1
393,2019-11-27,74
394,2019-11-29,56
395,2019-11-30,107
396,2019-12-01,29
397,2019-12-03,14
398,2019-12-06,26
399,2019-12-07,34
400,2019-12-08,26
401,2019-12-11,21
402,2019-12-12,10
403,2019-12-13,122
404,2019-12-17,67
405,2019-12-18,33
406,2019-12-19,4
407,2019-12-21,3
408,2019-12-22,9
409,2019-12-27,23
410,2019-12-28,37
411,2019-12-29,15
412,2020-01-02,27
413,2020-01-03,34
414,2020-01-04,36
415,2020-01-05,45
416,2020-01-07,1
417,2020-01-08,2
418,2020-01-10,2
419,2020-01-11,44
